WordLengthFeature,CharacterFrequencyFeature,FunctionWordFeature,CapitalLetterFeature,UpperCaseFeature,WordFrequencyFeature,PosTagFeature,EmoticonFeature,PostLengthFeature,PrefixSuffixFeature,BlankLineAndParagraphFeature,SentenceLengthFeature,dasBlondinchen_f-measure,kaithrun_f-measure,livsglaedjen_f-measure,saschalobo_f-measure,schminktante_f-measure,spreemieze_f-measure,f-measure-avg
0,0,0,0,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
1,0,0,0,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
0,1,0,0,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
1,1,0,0,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
0,0,1,0,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
1,0,1,0,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
0,1,1,0,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
1,1,1,0,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
0,0,0,1,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
1,0,0,1,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
0,1,0,1,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
1,1,0,1,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
0,0,1,1,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
1,0,1,1,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
0,1,1,1,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
1,1,1,1,1,0,1,1,1,1,1,0,0.41860465116279066,0.3076923076923077,0.37209302325581395,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4065082204617088
0,0,0,0,0,1,1,1,1,1,1,0,0.42076502732240445,0.31070889894419307,0.3715846994535519,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4072863277299151
1,0,0,0,0,1,1,1,1,1,1,0,0.4226804123711341,0.3133903133903134,0.3711340206185567,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4079773478398909
0,1,0,0,0,1,1,1,1,1,1,0,0.424390243902439,0.3157894736842105,0.3707317073170732,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.408595127593844
1,1,0,0,0,1,1,1,1,1,1,0,0.42592592592592593,0.317948717948718,0.37037037037037035,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4091507258173926
0,0,1,0,0,1,1,1,1,1,1,0,0.4273127753303964,0.31990231990231993,0.3700440528634361,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4096530814592489
1,0,1,0,0,1,1,1,1,1,1,0,0.42857142857142855,0.32167832167832167,0.3697478991596639,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41010949834479254
0,1,1,0,0,1,1,1,1,1,1,0,0.42971887550200805,0.3232998885172798,0.3694779116465864,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41052600272086925
1,1,1,0,0,1,1,1,1,1,1,0,0.4307692307692308,0.3247863247863248,0.3692307692307692,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4109076109076109
0,0,0,1,0,1,1,1,1,1,1,0,0.4317343173431734,0.3261538461538461,0.36900369003690037,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4112585323655435
1,0,0,1,0,1,1,1,1,1,1,0,0.4326241134751773,0.32741617357001973,0.36879432624113473,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4115823256576121
0,1,0,1,0,1,1,1,1,1,1,0,0.43344709897610917,0.32858499525166196,0.36860068259385664,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4118820195801615
1,1,0,1,0,1,1,1,1,1,1,0,0.43421052631578944,0.32967032967032966,0.3684210526315789,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4121602082128398
0,0,1,1,0,1,1,1,1,1,1,0,0.4349206349206348,0.3306808134394341,0.3682539682539683,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4124191262122297
1,0,1,1,0,1,1,1,1,1,1,0,0.43558282208588955,0.33162393162393156,0.3680981595092025,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41266070897972745
0,1,1,1,0,1,1,1,1,1,1,0,0.43620178041543023,0.3325062034739454,0.36795252225519287,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4128866411339849
1,1,1,1,0,1,1,1,1,1,1,0,0.43678160919540227,0.33333333333333337,0.367816091954023,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4130983958570165
0,0,0,0,1,1,1,1,1,1,1,0,0.4373259052924791,0.3341103341103341,0.36768802228412256,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4132972670577127
1,0,0,0,1,1,1,1,1,1,1,0,0.4378378378378378,0.33484162895927605,0.3675675675675676,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4134843958373371
0,1,0,0,1,1,1,1,1,1,1,0,0.4383202099737533,0.3355311355311355,0.36745406824146987,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4136607924009499
1,1,0,0,1,1,1,1,1,1,1,0,0.4387755102040816,0.33618233618233617,0.3673469387755102,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41382735430354484
0,0,1,0,1,1,1,1,1,1,1,0,0.4392059553349876,0.33679833679833676,0.36724565756823824,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4139848817268173
1,0,1,0,1,1,1,1,1,1,1,0,0.43961352657004826,0.3373819163292847,0.3671497584541063,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41413409033546333
0,1,1,0,1,1,1,1,1,1,1,0,0.43999999999999995,0.3379355687047995,0.36705882352941177,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4142756221489254
1,1,1,0,1,1,1,1,1,1,1,0,0.4403669724770642,0.3384615384615385,0.3669724770642202,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41441005477702725
0,0,0,1,1,1,1,1,1,1,1,0,0.4407158836689038,0.33896185115697314,0.3668903803131991,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4145379092997361
1,0,0,1,1,1,1,1,1,1,1,0,0.44104803493449773,0.33943833943833945,0.3668122270742358,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41465965701773566
0,1,0,1,1,1,1,1,1,1,1,0,0.44136460554371004,0.33989266547406083,0.36673773987206826,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4147757252581967
1,1,0,1,1,1,1,1,1,1,1,0,0.44166666666666665,0.3403263403263403,0.36666666666666664,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41488650238650243
0,0,1,1,1,1,1,1,1,1,1,0,0.44195519348268836,0.34074074074074073,0.36659877800407337,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.4149923421478072
1,0,1,1,1,1,1,1,1,1,1,0,0.44223107569721115,0.3411371237458194,0.36653386454183273,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41509356744070064
0,1,1,1,1,1,1,1,1,1,1,0,0.44249512670565305,0.3415166393889798,0.36647173489278756,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41519047360779354
1,1,1,1,1,1,1,1,1,1,1,0,0.4427480916030534,0.3418803418803419,0.366412213740458,0.5714285714285715,0.4615384615384615,0.3076923076923077,0.41528333131386574
0,0,0,0,0,0,0,0,0,0,0,1,0.4384724186704385,0.33948339483394835,0.36303630363036304,0.5670995670995672,0.453978159126365,0.3057459146020032,0.41130262632711423
